SRC_IP,MF_FLAG,DF_FLAG,PACKET_NO,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,DST_IP,IP_FRAG_OFF
172.16.16.128,0,1,81,Linux,20,1258920201.832506000,128,157.166.226.25,0
157.166.226.25,0,0,82,Linux,20,1258920201.833694000,51,172.16.16.128,0
204.160.104.126,0,0,83,Linux,20,1258920201.833901000,56,172.16.16.128,0
172.16.16.128,0,1,84,Linux,20,1258920201.833942000,128,204.160.104.126,0
172.16.16.128,0,1,85,Linux,20,1258920201.834192000,128,204.160.104.126,0
204.160.104.126,0,0,86,Linux,20,1258920201.838590000,56,172.16.16.128,0
172.16.16.128,0,1,87,Linux,20,1258920201.838652000,128,204.160.104.126,0
172.16.16.128,0,1,88,Linux,20,1258920201.838887000,128,204.160.104.126,0
204.160.104.126,0,0,89,Linux,20,1258920201.844887000,56,172.16.16.128,0
172.16.16.128,0,1,90,Linux,20,1258920201.844945000,128,204.160.104.126,0
172.16.16.128,0,1,91,Linux,20,1258920201.845167000,128,204.160.104.126,0
204.160.104.126,0,0,92,Linux,20,1258920201.847989000,56,172.16.16.128,0
172.16.16.128,0,1,93,Linux,20,1258920201.848027000,128,204.160.104.126,0
172.16.16.128,0,1,94,Linux,20,1258920201.848210000,128,204.160.104.126,0
204.160.104.126,0,0,95,Linux,20,1258920201.864276000,56,172.16.16.128,0
204.160.104.126,0,0,96,Linux,20,1258920201.864969000,56,172.16.16.128,0
172.16.16.128,0,1,97,Linux,20,1258920201.865398000,128,204.160.104.126,0
172.16.16.128,0,0,99,Linux,20,1258920201.869765000,1,224.0.0.252,0
204.160.104.126,0,0,100,Linux,20,1258920201.875327000,56,172.16.16.128,0
204.160.104.126,0,0,101,Linux,20,1258920201.875330000,56,172.16.16.128,0
172.16.16.128,0,1,102,Linux,20,1258920201.876769000,128,204.160.104.126,0
204.160.104.126,0,0,103,Linux,20,1258920201.880121000,56,172.16.16.128,0
204.160.104.126,0,0,104,Linux,20,1258920201.881221000,56,172.16.16.128,0
172.16.16.128,0,1,105,Linux,20,1258920201.881443000,128,204.160.104.126,0
204.160.104.126,0,0,106,Linux,20,1258920201.885805000,56,172.16.16.128,0
204.160.104.126,0,0,107,Linux,20,1258920201.885909000,56,172.16.16.128,0
172.16.16.128,0,1,108,Linux,20,1258920201.886207000,128,204.160.104.126,0
157.166.226.25,0,0,109,Linux,20,1258920201.894047000,51,172.16.16.128,0
172.16.16.128,0,1,110,Linux,20,1258920201.894115000,128,157.166.226.25,0
157.166.226.25,0,0,111,Linux,20,1258920201.895259000,51,172.16.16.128,0
157.166.226.25,0,0,112,Linux,20,1258920201.897867000,51,172.16.16.128,0
172.16.16.128,0,1,113,Linux,20,1258920201.897908000,128,157.166.226.25,0
204.160.104.126,0,0,114,Linux,20,1258920201.898244000,56,172.16.16.128,0
204.160.104.126,0,0,115,Linux,20,1258920201.898246000,56,172.16.16.128,0
204.160.104.126,0,0,116,Linux,20,1258920201.898248000,56,172.16.16.128,0
204.160.104.126,0,0,117,Linux,20,1258920201.898382000,56,172.16.16.128,0
172.16.16.128,0,1,118,Linux,20,1258920201.899049000,128,204.160.104.126,0
172.16.16.128,0,1,119,Linux,20,1258920201.899159000,128,204.160.104.126,0
204.160.104.126,0,0,120,Linux,20,1258920201.908327000,56,172.16.16.128,0
172.16.16.128,0,1,121,Linux,20,1258920201.908596000,128,204.160.104.126,0
204.160.104.126,0,0,122,Linux,20,1258920201.919915000,56,172.16.16.128,0
172.16.16.128,0,1,123,Linux,20,1258920201.921969000,128,204.160.104.126,0
204.160.104.126,0,0,124,Linux,20,1258920201.928209000,56,172.16.16.128,0
172.16.16.128,0,1,125,Linux,20,1258920201.928990000,128,204.160.104.126,0
204.160.104.126,0,0,126,Linux,20,1258920201.933729000,56,172.16.16.128,0
172.16.16.128,0,1,127,Linux,20,1258920201.934392000,128,204.160.104.126,0
204.160.104.126,0,0,128,Linux,20,1258920201.946265000,56,172.16.16.128,0
172.16.16.128,0,1,129,Linux,20,1258920201.946593000,128,204.160.104.126,0
204.160.104.126,0,0,130,Linux,20,1258920201.947183000,56,172.16.16.128,0
172.16.16.128,0,1,131,Linux,20,1258920201.947710000,128,204.160.104.126,0
157.166.226.25,0,0,132,Linux,20,1258920201.951647000,51,172.16.16.128,0
157.166.226.25,0,0,133,Linux,20,1258920201.952906000,51,172.16.16.128,0
172.16.16.128,0,1,134,Linux,20,1258920201.952947000,128,157.166.226.25,0
157.166.226.25,0,0,135,Linux,20,1258920201.956127000,51,172.16.16.128,0
204.160.104.126,0,0,136,Linux,20,1258920201.956338000,56,172.16.16.128,0
157.166.226.25,0,0,137,Linux,20,1258920201.957237000,51,172.16.16.128,0
172.16.16.128,0,1,138,Linux,20,1258920201.957277000,128,157.166.226.25,0
157.166.226.25,0,0,139,Linux,20,1258920201.958431000,51,172.16.16.128,0
157.166.226.25,0,0,140,Linux,20,1258920201.959674000,51,172.16.16.128,0
172.16.16.128,0,1,141,Linux,20,1258920201.959714000,128,157.166.226.25,0
204.160.104.126,0,0,142,Linux,20,1258920201.962382000,56,172.16.16.128,0
204.160.104.126,0,0,143,Linux,20,1258920201.975079000,56,172.16.16.128,0
204.160.104.126,0,0,144,Linux,20,1258920201.979134000,56,172.16.16.128,0
204.160.104.126,0,0,145,Linux,20,1258920201.992352000,56,172.16.16.128,0
204.160.104.126,0,0,146,Linux,20,1258920201.995135000,56,172.16.16.128,0
172.16.16.128,0,1,147,Linux,20,1258920202.016048000,128,204.160.104.126,0
172.16.16.128,0,1,148,Linux,20,1258920202.016237000,128,204.160.104.126,0
172.16.16.128,0,1,149,Linux,20,1258920202.016320000,128,204.160.104.126,0
172.16.16.128,0,1,150,Linux,20,1258920202.016407000,128,204.160.104.126,0
172.16.16.128,0,1,151,Linux,20,1258920202.016462000,128,204.160.104.126,0
172.16.16.128,0,1,152,Linux,20,1258920202.016541000,128,204.160.104.126,0
157.166.226.25,0,0,153,Linux,20,1258920202.017645000,51,172.16.16.128,0
157.166.226.25,0,0,154,Linux,20,1258920202.017649000,51,172.16.16.128,0
172.16.16.128,0,1,155,Linux,20,1258920202.026439000,128,199.93.63.126,0
172.16.16.128,0,1,156,Linux,20,1258920202.035607000,128,157.166.226.25,0
172.16.16.128,0,1,157,Linux,20,1258920202.039370000,128,157.166.255.38,0
172.16.16.128,0,1,158,Linux,20,1258920202.059956000,128,157.166.226.25,0
204.160.104.126,0,0,159,Linux,20,1258920202.063225000,56,172.16.16.128,0
172.16.16.128,0,1,160,Linux,20,1258920202.063768000,128,204.160.104.126,0
204.160.104.126,0,0,161,Linux,20,1258920202.067143000,56,172.16.16.128,0
204.160.104.126,0,0,162,Linux,20,1258920202.067146000,56,172.16.16.128,0
172.16.16.128,0,1,163,Linux,20,1258920202.067879000,128,204.160.104.126,0
172.16.16.128,0,1,164,Linux,20,1258920202.067960000,128,204.160.104.126,0
204.160.104.126,0,0,165,Linux,20,1258920202.068348000,56,172.16.16.128,0
172.16.16.128,0,1,166,Linux,20,1258920202.068639000,128,204.160.104.126,0
172.16.16.128,0,0,167,Linux,20,1258920202.070084000,128,172.16.16.255,0
204.160.104.126,0,0,168,Linux,20,1258920202.070423000,56,172.16.16.128,0
172.16.16.128,0,1,169,Linux,20,1258920202.070730000,128,204.160.104.126,0
199.93.63.126,0,0,170,Linux,20,1258920202.076396000,56,172.16.16.128,0
172.16.16.128,0,1,171,Linux,20,1258920202.076472000,128,199.93.63.126,0
204.160.104.126,0,0,172,Linux,20,1258920202.076723000,56,172.16.16.128,0
172.16.16.128,0,1,173,Linux,20,1258920202.076780000,128,199.93.63.126,0
172.16.16.128,0,1,174,Linux,20,1258920202.077106000,128,204.160.104.126,0
157.166.226.25,0,0,175,Linux,20,1258920202.093802000,51,172.16.16.128,0
172.16.16.128,0,1,176,Linux,20,1258920202.093889000,128,157.166.226.25,0
172.16.16.128,0,1,177,Linux,20,1258920202.094255000,128,157.166.226.25,0
157.166.255.38,0,0,178,Linux,20,1258920202.096628000,46,172.16.16.128,0
172.16.16.128,0,1,179,Linux,20,1258920202.096679000,128,157.166.255.38,0
172.16.16.128,0,1,180,Linux,20,1258920202.096883000,128,157.166.255.38,0
204.160.104.126,0,0,181,Linux,20,1258920202.120986000,56,172.16.16.128,0
172.16.16.128,0,1,182,Linux,20,1258920202.121590000,128,204.160.104.126,0
204.160.104.126,0,0,183,Linux,20,1258920202.121664000,56,172.16.16.128,0
172.16.16.128,0,1,184,Linux,20,1258920202.122105000,128,204.160.104.126,0
204.160.104.126,0,0,185,Linux,20,1258920202.134796000,56,172.16.16.128,0
204.160.104.126,0,0,186,Linux,20,1258920202.134801000,56,172.16.16.128,0
157.166.226.25,0,0,187,Linux,20,1258920202.134803000,51,172.16.16.128,0
199.93.63.126,0,0,188,Linux,20,1258920202.134807000,56,172.16.16.128,0
199.93.63.126,0,0,189,Linux,20,1258920202.134809000,56,172.16.16.128,0
204.160.104.126,0,0,190,Linux,20,1258920202.134811000,56,172.16.16.128,0
204.160.104.126,0,0,191,Linux,20,1258920202.136177000,56,172.16.16.128,0
172.16.16.128,0,1,192,Linux,20,1258920202.137596000,128,204.160.104.126,0
172.16.16.128,0,1,193,Linux,20,1258920202.137691000,128,204.160.104.126,0
172.16.16.128,0,1,194,Linux,20,1258920202.137762000,128,204.160.104.126,0
172.16.16.128,0,1,195,Linux,20,1258920202.137831000,128,204.160.104.126,0
172.16.16.128,0,1,196,Linux,20,1258920202.154273000,128,157.166.255.38,0
157.166.226.25,0,0,197,Linux,20,1258920202.154415000,51,172.16.16.128,0
157.166.226.25,0,0,198,Linux,20,1258920202.155733000,51,172.16.16.128,0
157.166.255.38,0,0,199,Linux,20,1258920202.155744000,46,172.16.16.128,0
172.16.16.128,0,1,200,Linux,20,1258920202.159508000,128,199.93.63.126,0
172.16.16.128,0,1,201,Linux,20,1258920202.160056000,128,199.93.63.126,0
157.166.255.38,0,0,202,Linux,20,1258920202.163672000,46,172.16.16.128,0
157.166.255.38,0,0,203,Linux,20,1258920202.164194000,46,172.16.16.128,0
172.16.16.128,0,1,204,Linux,20,1258920202.164242000,128,157.166.255.38,0
204.160.104.126,0,0,205,Linux,20,1258920202.166792000,56,172.16.16.128,0
172.16.16.128,0,1,206,Linux,20,1258920202.167512000,128,204.160.104.126,0
204.160.104.126,0,0,207,Linux,20,1258920202.171274000,56,172.16.16.128,0
172.16.16.128,0,1,208,Linux,20,1258920202.171874000,128,204.160.104.126,0
172.16.16.128,0,1,209,Linux,20,1258920202.175020000,128,157.166.255.38,0
172.16.16.128,0,1,210,Linux,20,1258920202.175387000,128,157.166.255.38,0
172.16.16.128,0,1,211,Linux,20,1258920202.178047000,128,157.166.255.38,0
204.160.104.126,0,0,212,Linux,20,1258920202.182980000,56,172.16.16.128,0
172.16.16.128,0,1,213,Linux,20,1258920202.183563000,128,204.160.104.126,0
204.160.104.126,0,0,214,Linux,20,1258920202.187157000,56,172.16.16.128,0
172.16.16.128,0,1,215,Linux,20,1258920202.187528000,128,204.160.104.126,0
204.160.104.126,0,0,216,Linux,20,1258920202.187752000,56,172.16.16.128,0
172.16.16.128,0,1,217,Linux,20,1258920202.188116000,128,204.160.104.126,0
204.160.104.126,0,0,218,Linux,20,1258920202.193023000,56,172.16.16.128,0
172.16.16.128,0,1,219,Linux,20,1258920202.193770000,128,204.160.104.126,0
199.93.63.126,0,0,220,Linux,20,1258920202.208186000,56,172.16.16.128,0
157.166.255.38,0,0,221,Linux,20,1258920202.208192000,46,172.16.16.128,0
199.93.63.126,0,0,222,Linux,20,1258920202.208194000,56,172.16.16.128,0
172.16.16.128,0,1,223,Linux,20,1258920202.208328000,128,157.166.255.38,0
172.16.16.128,0,1,224,Linux,20,1258920202.208394000,128,199.93.63.126,0
172.16.16.128,0,1,225,Linux,20,1258920202.208907000,128,157.166.255.38,0
172.16.16.128,0,1,226,Linux,20,1258920202.209003000,128,199.93.63.126,0
172.16.16.128,0,1,227,Linux,20,1258920202.209670000,128,199.93.63.126,0
172.16.16.128,0,1,228,Linux,20,1258920202.214255000,128,157.166.226.25,0
204.160.104.126,0,0,229,Linux,20,1258920202.215443000,56,172.16.16.128,0
172.16.16.128,0,1,230,Linux,20,1258920202.215831000,128,204.160.104.126,0
157.166.255.38,0,0,231,Linux,20,1258920202.225402000,46,172.16.16.128,0
157.166.255.38,0,0,232,Linux,20,1258920202.229675000,46,172.16.16.128,0
204.160.104.126,0,0,233,Linux,20,1258920202.229681000,56,172.16.16.128,0
172.16.16.128,0,1,234,Linux,20,1258920202.229802000,128,157.166.255.38,0
172.16.16.128,0,1,235,Linux,20,1258920202.234008000,128,204.160.104.126,0
204.160.104.126,0,0,236,Linux,20,1258920202.235780000,56,172.16.16.128,0
172.16.16.128,0,1,237,Linux,20,1258920202.236210000,128,204.160.104.126,0
157.166.255.38,0,0,238,Linux,20,1258920202.247789000,47,172.16.16.128,0
157.166.255.38,0,0,239,Linux,20,1258920202.247795000,47,172.16.16.128,0
157.166.255.38,0,0,240,Linux,20,1258920202.247797000,47,172.16.16.128,0
204.160.104.126,0,0,241,Linux,20,1258920202.247799000,56,172.16.16.128,0
204.160.104.126,0,0,242,Linux,20,1258920202.247801000,56,172.16.16.128,0
