TCP_WINDOW_SIZE,TCP_OPTIONS,DST_IP,TIMESTAMP,DST_PORT,TCP_HDR_LEN,TCP_FLAGS,TCP_ACK,MF_FLAG,TTL,PROTOCOL,TCP_SEQ,PACKET_NO,TCP_URP,DF_FLAG,PACKET_SIZE,SRC_PORT,KNOWN_HOST_DEVICE,IP_FRAG_OFF,SRC_IP
0,N/A,209.85.225.118,1258920201.703928000,80,20,·······A·R··,1,0,128,tcp,559424056,44,0,1,20,2870,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703992000,80,20,·······A·R··,1,0,128,tcp,1118990060,45,0,1,20,2860,Linux,0,172.16.16.128
0,N/A,74.125.166.28,1258920201.704075000,80,20,·······A·R··,1,0,128,tcp,4098227761,46,0,1,20,2857,Linux,0,172.16.16.128
0,N/A,74.125.166.28,1258920201.704147000,80,20,·······A·R··,1,0,128,tcp,842158564,47,0,1,20,2856,Linux,0,172.16.16.128
0,N/A,74.125.95.138,1258920201.704235000,80,20,·······A·R··,1,0,128,tcp,2103614705,48,0,1,20,2855,Linux,0,172.16.16.128
0,N/A,205.203.139.162,1258920201.704352000,80,20,·······A·R··,1,0,128,tcp,733327732,49,0,1,20,2851,Linux,0,172.16.16.128
0,N/A,74.217.1.81,1258920201.704468000,80,20,·······A·R··,1,0,128,tcp,2295741994,50,0,1,20,2848,Linux,0,172.16.16.128
0,N/A,8.18.91.65,1258920201.704580000,80,20,·······A·R··,1,0,128,tcp,3604954437,51,0,1,20,2847,Linux,0,172.16.16.128
0,N/A,74.125.95.155,1258920201.704713000,80,20,·······A·R··,1,0,128,tcp,723700590,52,0,1,20,2844,Linux,0,172.16.16.128
0,N/A,74.125.95.149,1258920201.704817000,80,20,·······A·R··,1,0,128,tcp,597677032,53,0,1,20,2845,Linux,0,172.16.16.128
0,N/A,74.125.95.149,1258920201.704878000,80,20,·······A·R··,1,0,128,tcp,1405687271,54,0,1,20,2843,Linux,0,172.16.16.128
0,N/A,74.125.95.149,1258920201.704950000,80,20,·······A·R··,1,0,128,tcp,2713086472,55,0,1,20,2841,Linux,0,172.16.16.128
0,N/A,74.125.95.149,1258920201.705015000,80,20,·······A·R··,1,0,128,tcp,149312479,56,0,1,20,2842,Linux,0,172.16.16.128
0,N/A,74.125.95.101,1258920201.705167000,80,20,·······A·R··,1,0,128,tcp,2495817931,57,0,1,20,2823,Linux,0,172.16.16.128
0,N/A,209.85.225.106,1258920201.705255000,80,20,·······A·R··,1,0,128,tcp,473690775,58,0,1,20,2822,Linux,0,172.16.16.128
N/A,N/A,239.255.255.250,1258920201.755697000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,59,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,172.16.16.128,1258920201.758660000,N/A,N/A,N/A,N/A,0,64,N/A,N/A,60,N/A,1,20,N/A,Linux,0,172.16.16.2
58,N/A,172.16.16.128,1258920201.767236000,2918,20,·······A····,751,0,51,tcp,1516154520,61,0,0,20,80,Linux,0,157.166.226.25
N/A,N/A,224.0.0.252,1258920201.770004000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,63,N/A,0,20,N/A,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.772880000,2918,20,·······A····,751,0,51,tcp,1516154520,64,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920201.773175000,2918,20,·······A····,751,0,51,tcp,1516155926,65,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.773219000,80,20,·······A····,2813,0,128,tcp,2094805765,66,0,1,20,2918,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.778671000,80,32,··········S·,0,0,128,tcp,963227025,67,0,1,20,2919,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.779067000,80,32,··········S·,0,0,128,tcp,1321615190,68,0,1,20,2920,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.779434000,80,32,··········S·,0,0,128,tcp,2237902638,69,0,1,20,2921,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.797053000,80,32,··········S·,0,0,128,tcp,2050725531,70,0,1,20,2922,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.797283000,80,32,··········S·,0,0,128,tcp,1142127966,71,0,1,20,2923,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,204.160.104.126,1258920201.806330000,80,32,··········S·,0,0,128,tcp,3771954378,72,0,1,20,2924,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.819923000,2919,32,·······A··S·,1,0,56,tcp,2470615921,73,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.820012000,80,20,·······A····,1,0,128,tcp,963227026,74,0,1,20,2919,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.820294000,80,20,·······AP···,1,0,128,tcp,963227026,75,0,1,20,2919,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.825328000,2921,32,·······A··S·,1,0,56,tcp,4016005525,76,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.825389000,80,20,·······A····,1,0,128,tcp,2237902639,77,0,1,20,2921,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.825766000,80,20,·······AP···,1,0,128,tcp,2237902639,78,0,1,20,2921,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.831275000,2918,20,·······A····,751,0,51,tcp,1516157332,79,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920201.832468000,2918,20,·······A····,751,0,51,tcp,1516158738,80,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.832506000,80,20,·······A····,5625,0,128,tcp,2094805765,81,0,1,20,2918,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.833694000,2918,20,·······A····,751,0,51,tcp,1516160144,82,0,0,20,80,Linux,0,157.166.226.25
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.833901000,2920,32,·······A··S·,1,0,56,tcp,2660326230,83,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.833942000,80,20,·······A····,1,0,128,tcp,1321615191,84,0,1,20,2920,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.834192000,80,20,·······AP···,1,0,128,tcp,1321615191,85,0,1,20,2920,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.838590000,2922,32,·······A··S·,1,0,56,tcp,2669616695,86,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.838652000,80,20,·······A····,1,0,128,tcp,2050725532,87,0,1,20,2922,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.838887000,80,20,·······AP···,1,0,128,tcp,2050725532,88,0,1,20,2922,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.844887000,2923,32,·······A··S·,1,0,56,tcp,2664943514,89,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.844945000,80,20,·······A····,1,0,128,tcp,1142127967,90,0,1,20,2923,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.845167000,80,20,·······AP···,1,0,128,tcp,1142127967,91,0,1,20,2923,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.847989000,2924,32,·······A··S·,1,0,56,tcp,2556587476,92,0,0,20,80,Linux,0,204.160.104.126
4218,N/A,204.160.104.126,1258920201.848027000,80,20,·······A····,1,0,128,tcp,3771954379,93,0,1,20,2924,Linux,0,172.16.16.128
4218,N/A,204.160.104.126,1258920201.848210000,80,20,·······AP···,1,0,128,tcp,3771954379,94,0,1,20,2924,Linux,0,172.16.16.128
54,N/A,172.16.16.128,1258920201.864276000,2919,20,·······A····,482,0,56,tcp,2470615922,95,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.864969000,2919,20,·······AP···,482,0,56,tcp,2470615922,96,0,0,20,80,Linux,0,204.160.104.126
4166,N/A,204.160.104.126,1258920201.865398000,80,20,·······AP···,206,0,128,tcp,963227507,97,0,1,20,2919,Linux,0,172.16.16.128
N/A,N/A,224.0.0.252,1258920201.869765000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,99,N/A,0,20,N/A,Linux,0,172.16.16.128
54,N/A,172.16.16.128,1258920201.875327000,2921,20,·······A····,496,0,56,tcp,4016005526,100,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.875330000,2921,20,·······AP···,496,0,56,tcp,4016005526,101,0,0,20,80,Linux,0,204.160.104.126
4166,N/A,204.160.104.126,1258920201.876769000,80,20,·······AP···,206,0,128,tcp,2237903134,102,0,1,20,2921,Linux,0,172.16.16.128
54,N/A,172.16.16.128,1258920201.880121000,2920,20,·······A····,480,0,56,tcp,2660326231,103,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.881221000,2920,20,·······AP···,480,0,56,tcp,2660326231,104,0,0,20,80,Linux,0,204.160.104.126
4166,N/A,204.160.104.126,1258920201.881443000,80,20,·······AP···,206,0,128,tcp,1321615670,105,0,1,20,2920,Linux,0,172.16.16.128
54,N/A,172.16.16.128,1258920201.885805000,2922,20,·······A····,478,0,56,tcp,2669616696,106,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.885909000,2922,20,·······AP···,478,0,56,tcp,2669616696,107,0,0,20,80,Linux,0,204.160.104.126
4166,N/A,204.160.104.126,1258920201.886207000,80,20,·······AP···,206,0,128,tcp,2050726009,108,0,1,20,2922,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.894047000,2918,20,·······A····,751,0,51,tcp,1516161550,109,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.894115000,80,20,·······A····,8437,0,128,tcp,2094805765,110,0,1,20,2918,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.895259000,2918,20,·······AP···,751,0,51,tcp,1516162956,111,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920201.897867000,2918,20,·······A····,751,0,51,tcp,1516164362,112,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.897908000,80,20,·······A····,11249,0,128,tcp,2094805765,113,0,1,20,2918,Linux,0,172.16.16.128
54,N/A,172.16.16.128,1258920201.898244000,2923,20,·······A····,487,0,56,tcp,2664943515,114,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.898246000,2924,20,·······A····,484,0,56,tcp,2556587477,115,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.898248000,2923,20,·······AP···,487,0,56,tcp,2664943515,116,0,0,20,80,Linux,0,204.160.104.126
54,N/A,172.16.16.128,1258920201.898382000,2924,20,·······AP···,484,0,56,tcp,2556587477,117,0,0,20,80,Linux,0,204.160.104.126
4166,N/A,204.160.104.126,1258920201.899049000,80,20,·······AP···,206,0,128,tcp,1142128453,118,0,1,20,2923,Linux,0,172.16.16.128
4166,N/A,204.160.104.126,1258920201.899159000,80,20,·······AP···,206,0,128,tcp,3771954862,119,0,1,20,2924,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.908327000,2919,20,·······AP···,972,0,56,tcp,2470616127,120,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.908596000,80,20,·······AP···,411,0,128,tcp,963227997,121,0,1,20,2919,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.919915000,2921,20,·······AP···,983,0,56,tcp,4016005731,122,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.921969000,80,20,·······AP···,411,0,128,tcp,2237903621,123,0,1,20,2921,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.928209000,2920,20,·······AP···,973,0,56,tcp,2660326436,124,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.928990000,80,20,·······AP···,411,0,128,tcp,1321616163,125,0,1,20,2920,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.933729000,2922,20,·······AP···,956,0,56,tcp,2669616901,126,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.934392000,80,20,·······AP···,411,0,128,tcp,2050726487,127,0,1,20,2922,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.946265000,2923,20,·······AP···,977,0,56,tcp,2664943720,128,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.946593000,80,20,·······AP···,411,0,128,tcp,1142128943,129,0,1,20,2923,Linux,0,172.16.16.128
63,N/A,172.16.16.128,1258920201.947183000,2924,20,·······AP···,972,0,56,tcp,2556587682,130,0,0,20,80,Linux,0,204.160.104.126
4115,N/A,204.160.104.126,1258920201.947710000,80,20,·······AP···,411,0,128,tcp,3771955350,131,0,1,20,2924,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.951647000,2918,20,·······AP···,751,0,51,tcp,1516165768,132,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920201.952906000,2918,20,·······A····,751,0,51,tcp,1516167174,133,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.952947000,80,20,·······A····,14061,0,128,tcp,2094805765,134,0,1,20,2918,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.956127000,2918,20,·······A····,751,0,51,tcp,1516168580,135,0,0,20,80,Linux,0,157.166.226.25
71,N/A,172.16.16.128,1258920201.956338000,2919,20,·······AP···,1474,0,56,tcp,2470616332,136,0,0,20,80,Linux,0,204.160.104.126
58,N/A,172.16.16.128,1258920201.957237000,2918,20,·······A····,751,0,51,tcp,1516169986,137,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.957277000,80,20,·······A····,16873,0,128,tcp,2094805765,138,0,1,20,2918,Linux,0,172.16.16.128
58,N/A,172.16.16.128,1258920201.958431000,2918,20,·······AP···,751,0,51,tcp,1516171392,139,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920201.959674000,2918,20,·······A····,751,0,51,tcp,1516172798,140,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.959714000,80,20,·······A····,19685,0,128,tcp,2094805765,141,0,1,20,2918,Linux,0,172.16.16.128
71,N/A,172.16.16.128,1258920201.962382000,2921,20,·······AP···,1461,0,56,tcp,4016005936,142,0,0,20,80,Linux,0,204.160.104.126
71,N/A,172.16.16.128,1258920201.975079000,2920,20,·······AP···,1454,0,56,tcp,2660326641,143,0,0,20,80,Linux,0,204.160.104.126
71,N/A,172.16.16.128,1258920201.979134000,2922,20,·······AP···,1438,0,56,tcp,2669617106,144,0,0,20,80,Linux,0,204.160.104.126
71,N/A,172.16.16.128,1258920201.992352000,2923,20,·······AP···,1459,0,56,tcp,2664943925,145,0,0,20,80,Linux,0,204.160.104.126
71,N/A,172.16.16.128,1258920201.995135000,2924,20,·······AP···,1454,0,56,tcp,2556587887,146,0,0,20,80,Linux,0,204.160.104.126
4064,N/A,204.160.104.126,1258920202.016048000,80,20,·······AP···,616,0,128,tcp,963228499,147,0,1,20,2919,Linux,0,172.16.16.128
4064,N/A,204.160.104.126,1258920202.016237000,80,20,·······AP···,616,0,128,tcp,2237904099,148,0,1,20,2921,Linux,0,172.16.16.128
4064,N/A,204.160.104.126,1258920202.016320000,80,20,·······AP···,616,0,128,tcp,2050726969,149,0,1,20,2922,Linux,0,172.16.16.128
4064,N/A,204.160.104.126,1258920202.016407000,80,20,·······AP···,616,0,128,tcp,1142129425,150,0,1,20,2923,Linux,0,172.16.16.128
4064,N/A,204.160.104.126,1258920202.016462000,80,20,·······AP···,616,0,128,tcp,1321616644,151,0,1,20,2920,Linux,0,172.16.16.128
4064,N/A,204.160.104.126,1258920202.016541000,80,20,·······AP···,616,0,128,tcp,3771955832,152,0,1,20,2924,Linux,0,172.16.16.128
