DF_FLAG,IP_FRAG_OFF,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,PACKET_NO,PROTOCOL,SRC_PORT,DST_IP,MF_FLAG,DST_PORT,SRC_IP
1,0,MacOS,20,1666897691.955682000,64,65,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.997806000,48,66,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897691.997919000,64,67,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.998412000,64,68,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044152000,48,69,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.044153000,48,70,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.044215000,64,71,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044258000,64,72,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044918000,64,73,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.045094000,64,74,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.045247000,64,75,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.084287000,48,76,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084288000,48,77,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084288000,48,78,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084391000,64,79,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.085079000,48,80,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.085172000,64,81,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.085475000,64,82,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.157573000,48,83,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.157659000,64,84,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.158308000,64,85,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.241507000,48,86,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897693.287879000,64,87,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.289281000,64,88,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.314730000,64,89,N/A,N/A,185.199.108.133,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.315474000,64,90,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.319976000,58,91,N/A,N/A,192.168.86.21,0,N/A,185.199.108.133
1,0,MacOS,20,1666897693.319977000,58,92,N/A,N/A,192.168.86.21,0,N/A,185.199.108.133
1,0,MacOS,20,1666897693.319977000,58,93,N/A,N/A,192.168.86.21,0,N/A,185.199.108.133
1,0,MacOS,20,1666897693.320130000,64,94,N/A,N/A,185.199.108.133,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.320191000,64,95,N/A,N/A,185.199.108.133,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.334391000,47,96,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897693.335117000,47,97,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897693.335118000,47,98,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897693.335192000,64,99,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.335586000,47,100,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897693.335622000,64,101,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.356791000,48,102,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897693.356885000,64,103,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897694.709423000,241,104,udp,443,192.168.86.21,0,52419,52.96.57.34
1,0,MacOS,20,1666897694.712616000,64,105,udp,52419,52.96.57.34,0,443,192.168.86.21
0,0,MacOS,20,1666897695.869055000,64,108,udp,64185,192.168.86.1,0,53,192.168.86.21
1,0,MacOS,20,1666897695.871637000,64,109,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.885060000,57,110,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.885816000,64,111,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.885820000,64,112,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.897070000,57,113,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.900035000,64,114,udp,53,192.168.86.21,0,64185,192.168.86.1
1,0,MacOS,20,1666897695.908056000,57,115,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.908056000,57,116,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.908878000,64,117,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.908883000,64,118,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.908885000,64,119,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.916908000,64,120,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.920427000,64,121,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897695.925189000,57,122,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.929485000,57,123,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.992097000,57,124,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897695.992420000,64,125,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
0,0,MacOS,20,1666897696.006761000,64,126,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.019992000,57,127,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.019993000,57,128,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.019994000,57,129,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.021147000,64,130,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.024890000,64,131,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.033653000,57,132,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.033734000,64,133,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.034062000,64,134,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
0,0,MacOS,20,1666897696.036406000,64,135,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.036569000,64,136,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.036926000,64,137,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.043257000,57,138,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.044424000,57,139,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.044424000,57,140,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.044476000,64,141,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.044520000,64,142,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.050035000,64,143,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.053171000,57,144,udp,443,192.168.86.21,0,52886,162.159.135.232
1,0,MacOS,20,1666897696.053172000,57,145,udp,443,192.168.86.21,0,52886,162.159.135.232
1,0,MacOS,20,1666897696.053172000,57,146,udp,443,192.168.86.21,0,52886,162.159.135.232
1,0,MacOS,20,1666897696.053172000,57,147,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.053512000,64,148,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.053595000,64,149,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.057123000,57,150,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.057123000,57,151,N/A,N/A,192.168.86.21,0,N/A,162.159.135.232
1,0,MacOS,20,1666897696.057181000,64,152,N/A,N/A,162.159.135.232,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.062509000,57,153,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.088751000,64,154,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.103294000,57,155,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.129122000,64,156,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.211912000,64,157,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897696.222325000,57,158,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246262000,57,159,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246263000,57,160,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246263000,57,161,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246264000,57,162,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246264000,57,163,udp,443,192.168.86.21,0,52886,162.159.135.232
