PACKET_SIZE,SRC_IP,TTL,DST_IP,KNOWN_HOST_DEVICE,IP_FRAG_OFF,PACKET_NO,MF_FLAG,TIMESTAMP,DF_FLAG
20,192.168.86.21,64,140.82.113.6,MacOS,0,79,0,1666897692.084391000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,80,0,1666897692.085079000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,81,0,1666897692.085172000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,82,0,1666897692.085475000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,83,0,1666897692.157573000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,84,0,1666897692.157659000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,85,0,1666897692.158308000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,86,0,1666897692.241507000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,87,0,1666897693.287879000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,88,0,1666897693.289281000,1
20,192.168.86.21,64,185.199.108.133,MacOS,0,89,0,1666897693.314730000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,90,0,1666897693.315474000,1
20,185.199.108.133,58,192.168.86.21,MacOS,0,91,0,1666897693.319976000,1
20,185.199.108.133,58,192.168.86.21,MacOS,0,92,0,1666897693.319977000,1
20,185.199.108.133,58,192.168.86.21,MacOS,0,93,0,1666897693.319977000,1
20,192.168.86.21,64,185.199.108.133,MacOS,0,94,0,1666897693.320130000,1
20,192.168.86.21,64,185.199.108.133,MacOS,0,95,0,1666897693.320191000,1
20,140.82.112.26,47,192.168.86.21,MacOS,0,96,0,1666897693.334391000,1
20,140.82.112.26,47,192.168.86.21,MacOS,0,97,0,1666897693.335117000,1
20,140.82.112.26,47,192.168.86.21,MacOS,0,98,0,1666897693.335118000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,99,0,1666897693.335192000,1
20,140.82.112.26,47,192.168.86.21,MacOS,0,100,0,1666897693.335586000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,101,0,1666897693.335622000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,102,0,1666897693.356791000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,103,0,1666897693.356885000,1
20,52.96.57.34,241,192.168.86.21,MacOS,0,104,0,1666897694.709423000,1
20,192.168.86.21,64,52.96.57.34,MacOS,0,105,0,1666897694.712616000,1
20,192.168.86.21,64,192.168.86.1,MacOS,0,108,0,1666897695.869055000,0
20,192.168.86.21,64,162.159.128.233,MacOS,0,109,0,1666897695.871637000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,110,0,1666897695.885060000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,111,0,1666897695.885816000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,112,0,1666897695.885820000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,113,0,1666897695.897070000,1
20,192.168.86.1,64,192.168.86.21,MacOS,0,114,0,1666897695.900035000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,115,0,1666897695.908056000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,116,0,1666897695.908056000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,117,0,1666897695.908878000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,118,0,1666897695.908883000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,119,0,1666897695.908885000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,120,0,1666897695.916908000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,121,0,1666897695.920427000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,122,0,1666897695.925189000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,123,0,1666897695.929485000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,124,0,1666897695.992097000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,125,0,1666897695.992420000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,126,0,1666897696.006761000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,127,0,1666897696.019992000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,128,0,1666897696.019993000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,129,0,1666897696.019994000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,130,0,1666897696.021147000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,131,0,1666897696.024890000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,132,0,1666897696.033653000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,133,0,1666897696.033734000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,134,0,1666897696.034062000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,135,0,1666897696.036406000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,136,0,1666897696.036569000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,137,0,1666897696.036926000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,138,0,1666897696.043257000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,139,0,1666897696.044424000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,140,0,1666897696.044424000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,141,0,1666897696.044476000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,142,0,1666897696.044520000,1
