PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,65,0,N/A,172.16.16.128,51,20,Linux,1258920201.773175000,N/A,0,157.166.226.25
N/A,0,66,0,N/A,157.166.226.25,128,20,Linux,1258920201.773219000,N/A,1,172.16.16.128
N/A,0,67,0,N/A,204.160.104.126,128,20,Linux,1258920201.778671000,N/A,1,172.16.16.128
N/A,0,68,0,N/A,204.160.104.126,128,20,Linux,1258920201.779067000,N/A,1,172.16.16.128
N/A,0,69,0,N/A,204.160.104.126,128,20,Linux,1258920201.779434000,N/A,1,172.16.16.128
N/A,0,70,0,N/A,204.160.104.126,128,20,Linux,1258920201.797053000,N/A,1,172.16.16.128
N/A,0,71,0,N/A,204.160.104.126,128,20,Linux,1258920201.797283000,N/A,1,172.16.16.128
N/A,0,72,0,N/A,204.160.104.126,128,20,Linux,1258920201.806330000,N/A,1,172.16.16.128
N/A,0,73,0,N/A,172.16.16.128,56,20,Linux,1258920201.819923000,N/A,0,204.160.104.126
N/A,0,74,0,N/A,204.160.104.126,128,20,Linux,1258920201.820012000,N/A,1,172.16.16.128
N/A,0,75,0,N/A,204.160.104.126,128,20,Linux,1258920201.820294000,N/A,1,172.16.16.128
N/A,0,76,0,N/A,172.16.16.128,56,20,Linux,1258920201.825328000,N/A,0,204.160.104.126
N/A,0,77,0,N/A,204.160.104.126,128,20,Linux,1258920201.825389000,N/A,1,172.16.16.128
N/A,0,78,0,N/A,204.160.104.126,128,20,Linux,1258920201.825766000,N/A,1,172.16.16.128
N/A,0,79,0,N/A,172.16.16.128,51,20,Linux,1258920201.831275000,N/A,0,157.166.226.25
N/A,0,80,0,N/A,172.16.16.128,51,20,Linux,1258920201.832468000,N/A,0,157.166.226.25
N/A,0,81,0,N/A,157.166.226.25,128,20,Linux,1258920201.832506000,N/A,1,172.16.16.128
