PACKET_NO,PACKET_SIZE,TTL,MF_FLAG,IP_FRAG_OFF,TIMESTAMP,SRC_IP,SUB_PROTOCOL,KNOWN_HOST_DEVICE,DST_IP,DF_FLAG,HTTP_USER_AGENT
80,20,55,0,0,1663877073.863778000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
81,20,128,0,0,1663877073.889824000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
82,20,55,0,0,1663877073.905638000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
83,20,128,0,0,1663877073.906357000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
84,20,55,0,0,1663877073.938069000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
85,20,128,0,0,1663877074.139853000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
86,20,55,0,0,1663877074.179024000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
88,20,128,0,0,1663877074.380141000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
89,20,128,0,0,1663877074.449158000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
90,20,55,0,0,1663877074.457095000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
91,20,55,0,0,1663877074.529925000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
92,20,128,0,0,1663877074.732110000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
93,20,128,0,0,1663877074.843187000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
94,20,55,0,0,1663877074.915491000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
95,20,53,0,0,1663877074.915491000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
96,20,55,0,0,1663877074.915491000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
97,20,128,0,0,1663877074.916239000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
98,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
99,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
100,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
101,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
102,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
103,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
104,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
105,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
106,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
107,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
108,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
109,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
110,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
111,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
112,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
113,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
114,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
115,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
116,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
117,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
