DF_FLAG,PACKET_NO,TLS_VERSION,SRC_IP,TLS_CIPHER_SUITES,SUB_PROTOCOL,TLS_EXTENSION_SIG_ALGS,DST_IP,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,IP_FRAG_OFF,KNOWN_HOST_DEVICE
1,57,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.679269000,0,MacOS
1,58,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.685758000,0,MacOS
1,59,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.321190000,0,MacOS
1,60,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.321702000,0,MacOS
1,61,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897691.337200000,0,MacOS
1,62,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.337464000,0,MacOS
0,63,N/A,192.168.86.21,N/A,N/A,N/A,192.168.86.1,64,0,20,1666897691.922391000,0,MacOS
1,64,N/A,192.168.86.1,N/A,N/A,N/A,192.168.86.21,64,0,20,1666897691.955377000,0,MacOS
1,65,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897691.955682000,0,MacOS
1,66,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897691.997806000,0,MacOS
1,67,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897691.997919000,0,MacOS
1,68,0x0301,192.168.86.21,0x8a8a,tls,0x0403,140.82.113.6,64,0,20,1666897691.998412000,0,MacOS
1,69,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.044152000,0,MacOS
1,70,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.044153000,0,MacOS
1,71,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.044215000,0,MacOS
1,72,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.044258000,0,MacOS
1,73,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.044918000,0,MacOS
1,74,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.045094000,0,MacOS
1,75,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.045247000,0,MacOS
1,76,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.084287000,0,MacOS
1,77,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.084288000,0,MacOS
1,78,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.084288000,0,MacOS
1,79,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.084391000,0,MacOS
1,80,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.085079000,0,MacOS
1,81,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.085172000,0,MacOS
1,82,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.085475000,0,MacOS
1,83,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.157573000,0,MacOS
1,84,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.157659000,0,MacOS
1,85,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897692.158308000,0,MacOS
1,86,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897692.241507000,0,MacOS
1,87,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897693.287879000,0,MacOS
1,88,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897693.289281000,0,MacOS
1,89,N/A,192.168.86.21,N/A,N/A,N/A,185.199.108.133,64,0,20,1666897693.314730000,0,MacOS
1,90,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897693.315474000,0,MacOS
1,91,N/A,185.199.108.133,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897693.319976000,0,MacOS
1,92,N/A,185.199.108.133,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897693.319977000,0,MacOS
1,93,N/A,185.199.108.133,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897693.319977000,0,MacOS
1,94,N/A,192.168.86.21,N/A,N/A,N/A,185.199.108.133,64,0,20,1666897693.320130000,0,MacOS
1,95,N/A,192.168.86.21,N/A,N/A,N/A,185.199.108.133,64,0,20,1666897693.320191000,0,MacOS
1,96,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,47,0,20,1666897693.334391000,0,MacOS
1,97,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,47,0,20,1666897693.335117000,0,MacOS
1,98,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,47,0,20,1666897693.335118000,0,MacOS
1,99,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897693.335192000,0,MacOS
1,100,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,47,0,20,1666897693.335586000,0,MacOS
1,101,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897693.335622000,0,MacOS
1,102,N/A,140.82.113.6,N/A,N/A,N/A,192.168.86.21,48,0,20,1666897693.356791000,0,MacOS
1,103,N/A,192.168.86.21,N/A,N/A,N/A,140.82.113.6,64,0,20,1666897693.356885000,0,MacOS
1,104,N/A,52.96.57.34,N/A,N/A,N/A,192.168.86.21,241,0,20,1666897694.709423000,0,MacOS
1,105,N/A,192.168.86.21,N/A,N/A,N/A,52.96.57.34,64,0,20,1666897694.712616000,0,MacOS
0,108,N/A,192.168.86.21,N/A,N/A,N/A,192.168.86.1,64,0,20,1666897695.869055000,0,MacOS
1,109,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.871637000,0,MacOS
1,110,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.885060000,0,MacOS
1,111,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.885816000,0,MacOS
1,112,0x0301,192.168.86.21,0x4a4a,tls,0x0403,162.159.128.233,64,0,20,1666897695.885820000,0,MacOS
1,113,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.897070000,0,MacOS
1,114,N/A,192.168.86.1,N/A,N/A,N/A,192.168.86.21,64,0,20,1666897695.900035000,0,MacOS
