DST_IP,IP_FRAG_OFF,HTTP_USER_AGENT,SRC_IP,PACKET_NO,DF_FLAG,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,SUB_PROTOCOL,KNOWN_HOST_DEVICE
239.255.255.250,0,N/A,172.16.16.128,59,0,1,0,20,1258920201.755697000,N/A,Linux
172.16.16.128,0,N/A,172.16.16.2,60,1,64,0,20,1258920201.758660000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,61,0,51,0,20,1258920201.767236000,N/A,Linux
224.0.0.252,0,N/A,172.16.16.128,63,0,1,0,20,1258920201.770004000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,64,0,51,0,20,1258920201.772880000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,65,0,51,0,20,1258920201.773175000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,66,1,128,0,20,1258920201.773219000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,67,1,128,0,20,1258920201.778671000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,68,1,128,0,20,1258920201.779067000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,69,1,128,0,20,1258920201.779434000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,70,1,128,0,20,1258920201.797053000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,71,1,128,0,20,1258920201.797283000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,72,1,128,0,20,1258920201.806330000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,73,0,56,0,20,1258920201.819923000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,74,1,128,0,20,1258920201.820012000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,75,1,128,0,20,1258920201.820294000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,76,0,56,0,20,1258920201.825328000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,77,1,128,0,20,1258920201.825389000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,78,1,128,0,20,1258920201.825766000,http,Linux
172.16.16.128,0,N/A,157.166.226.25,79,0,51,0,20,1258920201.831275000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,80,0,51,0,20,1258920201.832468000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,81,1,128,0,20,1258920201.832506000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,82,0,51,0,20,1258920201.833694000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,83,0,56,0,20,1258920201.833901000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,84,1,128,0,20,1258920201.833942000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,85,1,128,0,20,1258920201.834192000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,86,0,56,0,20,1258920201.838590000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,87,1,128,0,20,1258920201.838652000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,88,1,128,0,20,1258920201.838887000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,89,0,56,0,20,1258920201.844887000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,90,1,128,0,20,1258920201.844945000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,91,1,128,0,20,1258920201.845167000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,92,0,56,0,20,1258920201.847989000,N/A,Linux
204.160.104.126,0,N/A,172.16.16.128,93,1,128,0,20,1258920201.848027000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,94,1,128,0,20,1258920201.848210000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,95,0,56,0,20,1258920201.864276000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,96,0,56,0,20,1258920201.864969000,N/A,Linux
