DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
192.168.86.21,34,443,N/A,20,N/A,N/A,56692,N/A,udp,MacOS,1,N/A,N/A,0,1666897686.005755000,N/A,0,142.251.35.202,N/A,N/A,N/A,57,N/A
142.251.35.202,35,56692,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897686.007663000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
255.255.255.255,37,68,N/A,20,N/A,N/A,67,N/A,udp,MacOS,0,N/A,N/A,0,1666897688.356978000,N/A,0,0.0.0.0,N/A,N/A,N/A,2,N/A
52.96.57.34,38,52419,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897689.657100000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,39,443,N/A,20,N/A,N/A,52419,N/A,udp,MacOS,1,N/A,N/A,0,1666897689.703095000,N/A,0,52.96.57.34,N/A,N/A,N/A,241,N/A
142.250.113.100,40,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.586550000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
142.250.113.100,41,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.594245000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,42,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.602499000,N/A,0,142.250.113.100,N/A,N/A,N/A,56,N/A
192.168.86.21,43,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.602500000,N/A,0,142.250.113.100,N/A,N/A,N/A,56,N/A
142.250.113.100,44,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.603897000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
