TLS_EXTENSION_SIG_ALGS,DST_PORT,TCP_URP,SRC_IP,TCP_ACK,IP_FRAG_OFF,SUB_PROTOCOL,DST_IP,MF_FLAG,PACKET_SIZE,TCP_OPTIONS,KNOWN_HOST_DEVICE,TLS_VERSION,TLS_CIPHER_SUITES,TCP_HDR_LEN,PACKET_NO,TCP_FLAGS,SRC_PORT,HTTP_USER_AGENT,TIMESTAMP,DF_FLAG,TTL,TCP_SEQ,PROTOCOL,TCP_WINDOW_SIZE
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,36,N/A,443,N/A,1663875291.689314000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,37,N/A,54735,N/A,1663875291.890853000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,38,N/A,443,N/A,1663875291.937785000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,39,N/A,54735,N/A,1663875292.139301000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,40,N/A,443,N/A,1663875292.187579000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.32.202,0,20,N/A,MacOS,N/A,N/A,N/A,41,N/A,53894,N/A,1663875292.227744000,1,64,N/A,udp,N/A
N/A,53894,N/A,142.251.32.202,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,42,N/A,443,N/A,1663875292.232161000,1,55,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,44,N/A,54735,N/A,1663875292.388253000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,45,N/A,443,N/A,1663875292.437697000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,47,N/A,54735,N/A,1663875292.639311000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,48,N/A,443,N/A,1663875292.687891000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,49,N/A,54735,N/A,1663875292.889423000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,50,N/A,443,N/A,1663875292.937750000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,52,N/A,54735,N/A,1663875293.338318000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,53,N/A,443,N/A,1663875293.392168000,1,237,N/A,udp,N/A
N/A,443,0,10.169.169.63,1,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,54,·······AP···,65498,N/A,1663875293.478447000,1,64,678052421,tcp,4096
N/A,443,0,10.169.169.63,1,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,55,·······AP···,65498,N/A,1663875293.478579000,1,64,678052493,tcp,4096
N/A,443,0,10.169.169.63,1,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,56,·······AP···,65498,N/A,1663875293.478635000,1,64,678052539,tcp,4096
N/A,65498,0,52.184.204.244,119,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,57,·······A····,443,N/A,1663875293.517663000,1,101,1314237114,tcp,6143
N/A,65498,0,52.184.204.244,119,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,58,·······AP···,443,N/A,1663875293.518073000,1,101,1314237114,tcp,6143
N/A,65498,0,52.184.204.244,420,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,59,·······AP···,443,N/A,1663875293.518074000,1,101,1314237160,tcp,6142
N/A,443,0,10.169.169.63,47,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,60,·······A····,65498,N/A,1663875293.518170000,1,64,678052840,tcp,4095
N/A,443,0,10.169.169.63,89,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,61,·······A····,65498,N/A,1663875293.518280000,1,64,678052840,tcp,4094
N/A,65498,0,52.184.204.244,420,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,62,·······AP···,443,N/A,1663875293.518372000,1,101,1314237202,tcp,6142
N/A,443,0,10.169.169.63,166,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,63,·······A····,65498,N/A,1663875293.518450000,1,64,678052840,tcp,4094
