PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
76,windows,34.98.127.226,10.169.169.21,20,1663877073.611489000,128,1,0,0,udp,65380,443,quic
77,windows,34.98.127.226,10.169.169.21,20,1663877073.775809000,128,1,0,0,udp,65380,443,quic
78,windows,10.169.169.21,34.98.127.226,20,1663877073.806624000,55,1,0,0,udp,443,65380,quic
79,windows,34.98.127.226,10.169.169.21,20,1663877073.857357000,128,1,0,0,udp,65380,443,quic
80,windows,10.169.169.21,34.98.127.226,20,1663877073.863778000,55,1,0,0,udp,443,65380,quic
81,windows,34.98.127.226,10.169.169.21,20,1663877073.889824000,128,1,0,0,udp,65380,443,quic
82,windows,10.169.169.21,34.98.127.226,20,1663877073.905638000,55,1,0,0,udp,443,65380,quic
83,windows,34.98.127.226,10.169.169.21,20,1663877073.906357000,128,1,0,0,udp,65380,443,quic
84,windows,10.169.169.21,34.98.127.226,20,1663877073.938069000,55,1,0,0,udp,443,65380,quic
85,windows,34.98.127.226,10.169.169.21,20,1663877074.139853000,128,1,0,0,udp,65380,443,quic
86,windows,10.169.169.21,34.98.127.226,20,1663877074.179024000,55,1,0,0,udp,443,65380,quic
88,windows,34.98.127.226,10.169.169.21,20,1663877074.380141000,128,1,0,0,udp,65380,443,quic
89,windows,34.98.127.226,10.169.169.21,20,1663877074.449158000,128,1,0,0,udp,65380,443,quic
90,windows,10.169.169.21,34.98.127.226,20,1663877074.457095000,55,1,0,0,udp,443,65380,quic
91,windows,10.169.169.21,34.98.127.226,20,1663877074.529925000,55,1,0,0,udp,443,65380,quic
92,windows,34.98.127.226,10.169.169.21,20,1663877074.732110000,128,1,0,0,udp,65380,443,quic
93,windows,34.98.127.226,10.169.169.21,20,1663877074.843187000,128,1,0,0,udp,65380,443,quic
94,windows,10.169.169.21,34.98.127.226,20,1663877074.915491000,55,1,0,0,udp,443,65380,quic
95,windows,10.169.169.21,162.159.133.234,20,1663877074.915491000,53,1,0,0,tcp,443,53331,tls
96,windows,10.169.169.21,34.98.127.226,20,1663877074.915491000,55,1,0,0,udp,443,65380,quic
97,windows,34.98.127.226,10.169.169.21,20,1663877074.916239000,128,1,0,0,udp,65380,443,quic
98,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
99,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
100,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
101,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
102,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
103,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
104,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
105,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
106,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
107,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
108,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
109,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
110,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
111,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
112,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
113,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
114,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
115,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
116,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
117,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
118,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
119,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
120,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
121,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
122,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
123,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
124,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
125,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
126,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
127,windows,10.169.169.21,34.98.127.226,20,1663877074.931610000,55,1,0,0,udp,443,65380,quic
128,windows,34.98.127.226,10.169.169.21,20,1663877074.932509000,128,1,0,0,udp,65380,443,quic
129,windows,34.98.127.226,10.169.169.21,20,1663877074.932717000,128,1,0,0,udp,65380,443,quic
130,windows,34.98.127.226,10.169.169.21,20,1663877074.932901000,128,1,0,0,udp,65380,443,quic
