TLS_EXTENSION_SIG_ALGS,TLS_CIPHER_SUITES,IP_FRAG_OFF,TCP_OPTIONS,TCP_ACK,TIMESTAMP,TTL,DF_FLAG,TCP_SEQ,MF_FLAG,PROTOCOL,SUB_PROTOCOL,TCP_WINDOW_SIZE,PACKET_NO,DST_PORT,TCP_FLAGS,TLS_VERSION,HTTP_USER_AGENT,SRC_PORT,DST_IP,SRC_IP,PACKET_SIZE,TCP_HDR_LEN,KNOWN_HOST_DEVICE,TCP_URP
N/A,N/A,0,N/A,7466,1663877503.666746000,128,1,2339532705,0,tcp,N/A,512,32,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2509,1663877503.669492000,118,0,3162050007,0,tcp,N/A,283,33,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,7466,1663877503.719131000,128,1,2339532744,0,tcp,N/A,512,34,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2581,1663877503.725694000,118,0,3162050007,0,tcp,N/A,283,35,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2581,1663877503.770354000,118,0,3162050007,0,tcp,N/A,283,36,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2581,1663877503.770580000,118,0,3162050342,0,tcp,N/A,283,37,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2581,1663877503.770580000,118,0,3162050427,0,tcp,N/A,283,38,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,7925,1663877503.770634000,128,1,2339532816,0,tcp,N/A,510,39,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,7925,1663877503.770970000,128,1,2339532816,0,tcp,N/A,510,40,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2620,1663877503.773276000,118,0,3162050466,0,tcp,N/A,283,41,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,7925,1663877503.829375000,128,1,2339532855,0,tcp,N/A,510,42,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2787,1663877503.831494000,118,0,3162050466,0,tcp,N/A,294,43,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,7925,1663877503.864703000,128,1,2339533022,0,tcp,N/A,510,44,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.866829000,118,0,3162050466,0,tcp,N/A,294,45,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.911910000,118,0,3162050466,0,tcp,N/A,294,46,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.912366000,118,0,3162050710,0,tcp,N/A,294,47,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.912366000,118,0,3162050805,0,tcp,N/A,294,48,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,8303,1663877503.912437000,128,1,2339533089,0,tcp,N/A,509,49,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,8303,1663877503.912635000,128,1,2339533089,0,tcp,N/A,509,50,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.913918000,118,0,3162050844,0,tcp,N/A,294,51,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.919595000,118,0,3162051091,0,tcp,N/A,294,52,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.919595000,118,0,3162052503,0,tcp,N/A,294,53,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.919595000,118,0,3162053915,0,tcp,N/A,294,54,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.919595000,118,0,3162055327,0,tcp,N/A,294,55,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,13879,1663877503.919679000,128,1,2339533128,0,tcp,N/A,512,56,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162056420,0,tcp,N/A,294,57,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162057832,0,tcp,N/A,294,58,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162059244,0,tcp,N/A,294,59,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162060656,0,tcp,N/A,294,60,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162062068,0,tcp,N/A,294,61,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162063480,0,tcp,N/A,294,62,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162064892,0,tcp,N/A,294,63,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162066304,0,tcp,N/A,294,64,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162067716,0,tcp,N/A,294,65,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162069128,0,tcp,N/A,294,66,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162070540,0,tcp,N/A,294,67,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162071952,0,tcp,N/A,294,68,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162073364,0,tcp,N/A,294,69,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162074776,0,tcp,N/A,294,70,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162076188,0,tcp,N/A,294,71,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162077600,0,tcp,N/A,294,72,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162079012,0,tcp,N/A,294,73,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162080424,0,tcp,N/A,294,74,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162081836,0,tcp,N/A,294,75,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162083248,0,tcp,N/A,294,76,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162084660,0,tcp,N/A,294,77,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162086072,0,tcp,N/A,294,78,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
